Data,icc,ipca,desemprego,dolar,ibc-br,rendimento,selic,igp-m,incc
2008.01,"142,6","0,54","9,3","1,77","121,86",1.212,"0,9300","1,09","363,551"
2008.02,"146,9","0,49","9,1","1,75","121,91",1.217,"0,8000","0,53","365,133"
2008.03,"147,7","0,48","9,6","1,68","128,99",1.221,"0,8400","0,74","366,928"
2008.04,"148,6","0,55","9,8","1,75","129,48",1.224,"0,9000","0,69","369,623"
2008.05,"147,4","0,79","9,8","1,65","128,92",1.229,"0,8800","1,61","372,773"
2008.06,"142,6","0,74","9,7","1,63","130,59",1.233,"0,9600","1,98","382,694"
2008.07,"131,2","0,53","9,6","1,61","136,53",1.236,"1,0700","1,76","388,442"
2008.08,"137,1","0,28","9,4","1,56","133,87",1.241,"1,0200","-0,32","393,991"
2008.09,"141,3","0,26","9,3","1,64","132,6",1.245,"1,1000","0,11","397,713"
2008.10,"140,5","0,45","8,5","1,92","132,8",1.248,"1,1800","0,98","401,693"
2008.11,"133,9","0,36","8,6","2,18","124,58",1.253,"1,0200","0,38","404,657"
2008.12,"128,7","0,28","8,3","2,36","118,9",1.257,"1,1200","-0,13","405,993"
2009.01,"125,2","0,48","9,2","2,33","115,2",1.262,"1,0500","-0,44","406,663"
2009.02,"134,1","0,55","9,8","2,35","115,26",1.267,"0,8600","0,26","408,428"
2009.03,"130,9","0,2","10,8","2,41","127,81",1.271,"0,9700","-0,74","408,465"
2009.04,"126,3","0,48","10,9","2,29","123,09",1.274,"0,8400","-0,15","407,366"
2009.05,129,"0,47","10,8","2,1369","124,41",1.279,"0,7700","-0,07","407,843"
2009.06,140,"0,36","10,3","1,944","125,61",1.283,"0,7600","-0,1","414,595"
2009.07,145,"0,24","10,5","1,9342","131,44",1.286,"0,7900","-0,43","416,584"
2009.08,"145,6","0,15","10,1","1,8369","130,7",1.291,"0,6900","-0,36","417,501"
2009.09,"148,8","0,24","10,1","1,8829","129,81",1.295,"0,6900","0,42","417,023"
2009.10,"157,2","0,28","9,9","1,7794","132,48",1.298,"0,6900","0,05","417,864"
2009.11,"155,8","0,41","9,4","1,7588","129,62",1.303,"0,6600","0,1","418,322"
2009.12,"156,6","0,37","8,5","1,7293","129,23",1.307,"0,7300","-0,26","419,376"
2010.01,"160,5","0,75",8,"1,724","125,81",1.312,"0,6600","0,63","420,618"
2010.02,"161,4","0,78","8,5","1,8773","127,61",1.317,"0,5900","1,18","422,943"
2010.03,"159,9","0,52","9,6","1,8","143,44",1.321,"0,7600","0,94","424,358"
2010.04,"154,7","0,57","9,8","1,7701","136,87",1.324,"0,6700","0,77","428,637"
2010.05,"155,8","0,43","9,7","1,7315","136,52",1.329,"0,7500","1,19","431,939"
2010.06,"160,6",0,"9,5","1,8255","136,09",1.333,"0,7900","0,85","440,629"
2010.07,"157,2","0,01","9,4","1,8006","141,64",1.336,"0,8600","0,15","443,823"
2010.08,"164,5","0,04","9,3","1,7489","141,55",1.341,"0,8900","0,77","445,391"
2010.09,"162,6","0,45","8,7","1,7441","139,46",1.345,"0,8500","1,15","445,969"
2010.10,"155,4","0,75","8,4","1,6812","139,33",1.348,"0,8100","1,01","446,864"
2010.11,"160,1","0,83","8,1","1,7044","139,68",1.353,"0,8100","1,45","447,948"
2010.12,"164,3","0,63","7,4","1,7044","136,69",1.357,"0,9300","0,69","450,165"
2011.01,"160,8","0,83",8,"1,651","132,66",1.362,"0,8600","0,79","452,434"
2011.02,"164,2","0,8","8,1","1,6631","136,18",1.367,"0,8400",1,"454,338"
2011.03,"160,3","0,79",9,"1,6627","144,93",1.371,"0,9200","0,62","455,846"
2011.04,"159,4","0,77","8,8","1,6194","139,89",1.374,"0,8400","0,45","458,23"
2011.05,153,"0,47","8,5","1,5747","143,23",1.379,"0,9900","0,43","465,43"
2011.06,"153,8","0,15","8,7","1,5878","141,75",1.383,"0,9600","-0,18","475,566"
2011.07,"152,9","0,16","8,8","1,5599","145,19",1.386,"0,9700","-0,12","477,853"
2011.08,"152,7","0,37",9,"1,5551","147,51",1.391,"1,0700","0,44","479,345"
2011.09,"154,1","0,53","8,5","1,604","142,3",1.395,"0,9400","0,65","479,843"
2011.10,"151,9","0,43","7,9","1,8811","142,02",1.398,"0,8800","0,53","480,597"
2011.11,"155,4","0,52","7,5","1,7506","141,87",1.403,"0,8600","0,5","482,463"
2011.12,"158,2","0,5","6,9","1,7929","139,23",1.407,"0,9100","-0,12","485,01"
2012.01,"158,3","0,56","7,6","1,8683","133,34",1.407,"0,8900","0,25","487,118"
2012.02,"170,2","0,45","8,4","1,7376","135,35",1.407,"0,7500","-0,06","490,313"
2012.03,"164,4","0,21","9,1","1,7152","146,35",1.500,"0,8200","0,43","491,242"
2012.04,165,"0,64","9,1","1,8314","139,85",1.420,"0,7100","0,85","494,712"
2012.05,"163,1","0,36","8,8","1,9149","144,56",1.424,"0,7400","1,02","498,981"
2012.06,"162,4","0,08",9,"2,035","142,28",1.433,"0,6400","0,66","507,305"
2012.07,"160,6","0,43","9,1","1,9893","147,46",1.445,"0,6800","1,34","511,59"
2012.08,"156,3","0,41","9,4","2,0432","149,91",1.455,"0,6900","1,43","514,12"
2012.09,"158,3","0,57","9,1","2,0335","141,6",1.459,"0,5400","0,97","515,003"
2012.10,"161,4","0,59","8,5","2,026","147,71",1.467,"0,6100","0,02","516,249"
2012.11,"159,7","0,6","7,9","2,0312","144,15",1.473,"0,5500","-0,03","517,364"
2012.12,"161,8","0,79","7,6","2,1121","139,52",1.494,"0,5500","0,68","519,204"
2013.01,"160,6","0,86","7,8","2,0415","139,32",1.578,"0,6000","0,34","520,06"
2013.02,"165,8","0,6","8,2","1,9843","136,14",1.598,"0,4900","0,29","524,437"
2013.03,160,"0,47","8,8","1,9848","148,01",1.601,"0,5500","0,21","526,353"
2013.04,"155,6","0,55","9,1","2,0186","149,79",1.540,"0,6100","0,15","529,757"
2013.05,146,"0,37",9,"2,0095","147,03",1.550,"0,6000",0,"533,946"
2013.06,145,"0,26","9,1","2,1355","144,87",1.571,"0,6100","0,75","547,167"
2013.07,"136,7","0,03",9,"2,2297","152,13",1.590,"0,7200","0,26","551,07"
2013.08,133,"0,24","8,6","2,2914","151,81",1.602,"0,7100","0,15","552,996"
2013.09,"136,7","0,35","8,1","2,3643","147,27",1.605,"0,7100","1,5","554,854"
2013.10,"139,2","0,57","7,7","2,2123","151,9",1.615,"0,8100","0,86","557,314"
2013.11,138,"0,54","7,5","2,2468","147,79",1.619,"0,7200","0,29","559,112"
2013.12,"136,6","0,92","7,5","2,3449","145,77",1.630,"0,7900","0,6","560,593"
