Data,venda,venda_1D,venda_2D,venda_3D,venda_4D,aluguel,aluguel_1D,aluguel_2D,aluguel_3D,aluguel_4D
jan/08,"2,611","2,76","2,262","2,626","3,676","18,6","22,1","17,2","16,5","21,1"
fev/08,"2,632","2,801","2,283","2,635","3,686","19,1","23,5","17,5","16,6","21,2"
mar/08,"2,668","2,869","2,319","2,655","3,703","19,7","25,5","17,7","16,9","21,3"
abr/08,"2,714","2,961","2,353","2,692","3,728","20,5","27,1","18,6","17,2","21,6"
mai/08,"2,759","3,038","2,387","2,727","3,775","21,2","27,9","19,6","17,5","21,9"
jun/08,"2,808","3,106","2,43","2,767","3,836","21,5","27,7","20,1","17,8","22,4"
jul/08,"2,856","3,18","2,483","2,795","3,865","21,9","28,7","20,3",18,"22,6"
ago/08,"2,897","3,219","2,541","2,831","3,867",22,"29,1","20,2","18,3","22,7"
set/08,"2,927","3,245","2,582","2,86","3,872","22,4","29,9","20,5","18,5","22,7"
out/08,"2,954","3,265","2,617","2,884","3,897","22,4","29,8","20,4","18,6","22,7"
nov/08,"2,995","3,303","2,66","2,916","3,965","22,2","29,6",20,"18,7","22,9"
dez/08,"3,053","3,404","2,71","2,95","4,03","22,1","29,3","19,7","18,9",23
jan/09,"3,099","3,445","2,758","2,99","4,097","22,2","29,3","19,7",19,"23,2"
fev/09,"3,141","3,53","2,793","3,016","4,126","22,5","29,8","20,2","19,2","23,5"
mar/09,"3,177","3,589","2,823","3,046","4,152","22,9","30,3","20,6","19,2","23,7"
abr/09,"3,235","3,682","2,874","3,095","4,185","23,1","30,3","21,2","19,3","23,9"
mai/09,"3,294","3,748","2,932","3,157","4,237","23,2","30,2","21,4","19,4",24
jun/09,"3,365","3,796","3,018","3,226","4,309","23,4","30,4","21,7","19,6","24,3"
jul/09,"3,431","3,851","3,097","3,275","4,403","23,4","30,1","21,6","19,7","24,5"
ago/09,"3,496","3,91","3,174","3,321","4,49","23,3","29,9","21,6","19,8","24,7"
