Data,Rendimento médio
2012.03,1.500
2012.04,1.420
2012.05,1.424
2012.06,1.433
2012.07,1.445
2012.08,1.455
2012.09,1.459
2012.10,1.467
2012.11,1.473
2012.12,1.494
2013.01,1.578
2013.02,1.598
2013.03,1.601
2013.04,1.540
2013.05,1.550
2013.06,1.571
2013.07,1.590
2013.08,1.602
2013.09,1.605
2013.10,1.615
2013.11,1.619
2013.12,1.630
2014.01,1.698
2014.02,1.724
2014.03,1.745
2014.04,1.695
2014.05,1.705
2014.06,1.705
2014.07,1.706
2014.08,1.722
2014.09,1.728
2014.10,1.741
2014.11,1.737
2014.12,1.760
2015.01,1.838
2015.02,1.853
2015.03,1.858
2015.04,1.811
2015.05,1.819
2015.06,1.843
2015.07,1.846
2015.08,1.847
2015.09,1.851
2015.10,1.856
2015.11,1.865
2015.12,1.942
2016.01,2.146
2016.02,2.167
2016.03,2.133
2016.04,1.958
2016.05,1.966
2016.06,1.958
2016.07,1.974
2016.08,2.003
2016.09,2.005
2016.10,2.007
2016.11,2.010
2016.12,2.092
2017.01,2.292
2017.02,2.318
2017.03,2.276
2017.04,2.086
2017.05,2.075
2017.06,2.066
2017.07,2.075
2017.08,2.083
2017.09,2.094
2017.10,2.097
2017.11,2.104
2017.12,2.183
2018.01,2.394
2018.02,2.422
2018.03,2.360
2018.04,2.175
2018.05,2.172
2018.06,2.174
2018.07,2.188
2018.08,2.215
2018.09,2.214
2018.10,2.213
2018.11,2.212
2018.12,2.306
2019.01,2.535
2019.02,2.558
2019.03,2.483
2019.04,2.271
2019.05,2.258
2019.06,2.272
2019.07,2.278
2019.08,2.301
2019.09,2.294
2019.10,2.303
2019.11,2.310
2019.12,2.399
2020.01,2.637
2020.02,2.664
2020.03,2.607
2020.04,2.396
2020.05,2.340
2020.06,2.297
2020.07,2.296
2020.08,2.333
2020.09,2.389
2020.10,2.390
2020.11,2.408
2020.12,2.463
2021.01,2.676
2021.02,2.690
2021.03,2.661
2021.04,2.479
2021.05,2.491
2021.06,2.482
2021.07,2.481
2021.08,2.473
2021.09,2.446
2021.10,2.429
2021.11,2.423
2021.12,2.494
2022.01,2.743
2022.02,2.775
2022.03,2.755
2022.04,2.572
2022.05,2.613
2022.06,2.661
2022.07,2.712
2022.08,2.742
2022.09,2.762
2022.10,2.766
2022.11,2.788
2022.12,2.903
2023.01,3.150
2023.02,3.180
2023.03,3.118
2023.04,2.924
2023.05,2.921
2023.06,2.934
2023.07,2.947
2023.08,2.974
2023.09,3.008
2023.10,3.008
2023.11,3.026
2023.12,3.123
2024.01,3.431
2024.02,3.477
2024.03,3.396
2024.04,3.187
2024.05,3.207
2024.06,3.233
2024.07,3.223
2024.08,3.262
2024.09,3.268
2024.10,3.282
2024.11,3.298
2024.12,3.428
2025.01,3.714
2025.02,3.766
2025.03,3.700
